"word","termfreq1","docfreq1","relfreq1"
"oil",6,5,0.037593984962406
"jasmine",3,3,0.0225563909774436
"leather",3,3,0.0225563909774436
"musk",3,3,0.0225563909774436
"bergamot",2,2,0.0150375939849624
"cinnamon",2,2,0.0150375939849624
"freshly",2,2,0.0150375939849624
"genitals",2,2,0.0150375939849624
"herbs",2,2,0.0150375939849624
"powder",2,2,0.0150375939849624
"rose",2,2,0.0150375939849624
"simple",2,2,0.0150375939849624
"soap",2,2,0.0150375939849624
"sweat",2,2,0.0150375939849624
"tincture",2,2,0.0150375939849624
"water",2,2,0.0150375939849624
"ale",1,1,0.0075187969924812
"andwine",1,1,0.0075187969924812
"armpits",1,1,0.0075187969924812
"ashes",1,1,0.0075187969924812
"attars",1,1,0.0075187969924812
"baked",1,1,0.0075187969924812
"balm",1,1,0.0075187969924812
"birch",1,1,0.0075187969924812
"blossom",1,1,0.0075187969924812
"boiled",1,1,0.0075187969924812
"bouquets",1,1,0.0075187969924812
"brass",1,1,0.0075187969924812
"bread",1,1,0.0075187969924812
"broom",1,1,0.0075187969924812
"camphor",1,1,0.0075187969924812
"candles",1,1,0.0075187969924812
"carefully",1,1,0.0075187969924812
"chips",1,1,0.0075187969924812
"cloth",1,1,0.0075187969924812
"clove",1,1,0.0075187969924812
"coach",1,1,0.0075187969924812
"coal",1,1,0.0075187969924812
"crates",1,1,0.0075187969924812
"curly",1,1,0.0075187969924812
"cypress",1,1,0.0075187969924812
"daffodils",1,1,0.0075187969924812
"damp",1,1,0.0075187969924812
"dishes",1,1,0.0075187969924812
"doth",1,1,0.0075187969924812
"dried",1,1,0.0075187969924812
"dry",1,1,0.0075187969924812
"eggs",1,1,0.0075187969924812
"essence",2,1,0.0075187969924812
"extracts",1,1,0.0075187969924812
"filtered",1,1,0.0075187969924812
"floral",1,1,0.0075187969924812
"flowers",1,1,0.0075187969924812
"fresh",1,1,0.0075187969924812
"glued",1,1,0.0075187969924812
"grain",1,1,0.0075187969924812
"grease",1,1,0.0075187969924812
"gruel",2,1,0.0075187969924812
"hay",1,1,0.0075187969924812
"hedges",1,1,0.0075187969924812
"incense",1,1,0.0075187969924812
"iris",1,1,0.0075187969924812
"jonquil",1,1,0.0075187969924812
"kegs",1,1,0.0075187969924812
"lavender",1,1,0.0075187969924812
"lime",1,1,0.0075187969924812
"makeup",1,1,0.0075187969924812
"meat",1,1,0.0075187969924812
"mint",1,1,0.0075187969924812
"mixed",1,1,0.0075187969924812
"myrrh",1,1,0.0075187969924812
"nails",1,1,0.0075187969924812
"neroli",1,1,0.0075187969924812
"noodles",1,1,0.0075187969924812
"orange",1,1,0.0075187969924812
"petals",1,1,0.0075187969924812
"polished",1,1,0.0075187969924812
"ropes",1,1,0.0075187969924812
"rosemary",1,1,0.0075187969924812
"roses",1,1,0.0075187969924812
"rosewood",1,1,0.0075187969924812
"sage",1,1,0.0075187969924812
"saltpeter",1,1,0.0075187969924812
"sandalwood",1,1,0.0075187969924812
"screws",1,1,0.0075187969924812
"ships",1,1,0.0075187969924812
"shoe",1,1,0.0075187969924812
"shoes",1,1,0.0075187969924812
"silk",1,1,0.0075187969924812
"smoothly",1,1,0.0075187969924812
"soggy",1,1,0.0075187969924812
"soles",1,1,0.0075187969924812
"stone",1,1,0.0075187969924812
"storax",1,1,0.0075187969924812
"straw",2,1,0.0075187969924812
"streets",1,1,0.0075187969924812
"tables",1,1,0.0075187969924812
"tears",1,1,0.0075187969924812
"thick",1,1,0.0075187969924812
"trimmed",1,1,0.0075187969924812
"tuberose",1,1,0.0075187969924812
"velvet",1,1,0.0075187969924812
"vinegar",1,1,0.0075187969924812
"violet",1,1,0.0075187969924812
"volatile",1,1,0.0075187969924812
"wealth",1,1,0.0075187969924812
"woods",1,1,0.0075187969924812
